id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
390,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,IBS,JL. DR. RIFAI NO,107.603744,-6.904107,POLE ROOFTOP,12,-,METER,2017
391,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,PT. MAS SARANA JAYA,JL. DR. CIPTO NO. 1,107.59823,-6.906219,POLE ROOFTOP,6,-,METER,2017
392,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,XL AXIATA,JL. PAJAJARAN,107.601262,-6.907019,MONOPOLE,30,-,METER,2017
393,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SMARTFREN,JL. CICENDO RT 04/05,107.603712,-6.91084,MONOPOLE,21,-,METER,2017
394,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,PT. MAS SARANA JAYA,JL. OTISTA NO. 16,107.603785,-6.913276,POLE ROOFTOP,3,-,METER,2017
395,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,TELKOMSEL,JL. MARJUK NO. 4-6,107.602514,-6.91202,POLE ROOFTOP,6,-,METER,2017
396,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,TOWER BERSAMA GROUP,JL. PASIR KALIKI NO. 36-42,107.598099,-6.911872,POLE ROOFTOP,6,-,METER,2017
397,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SOLUSI TUNAS PRATAMA,JL. PASIR KALIKI NO.,107.598195,-6.911837,MONOPOLE,30,-,METER,2017
398,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,MILIK SEKOLAH,JL. SARI MANIS,107.574027,-6.878226,MONOPOLE,50,-,METER,2017
399,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,XL AXIATA,JL. SARI ASIH 4 NO. 16,107.576288,-6.874042,4 KAKI,30,-,METER,2017
