FID,ogc_fid,site_id,lat,long,jen_men,tinggi,jen_kons,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.108,108,RSJ,-0.1952,109.2129,green field,112,4 KAKI,POINT (109.2129 -0.1952)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.109,109,MPW078,-0.1105,110.074889,Green Field,72,4 KAKI,POINT (110.0748889 -0.1105)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.110,110,MPW076,-0.569,109.28358,Green Field,72,4 KAKI,POINT (109.28358 -0.569)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.111,111,P06-23,-0.80556,109.79445,Green Field,32,4 KAKI,POINT (109.79445 -0.80556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.112,112,P06-07,-0.79,109.253889,Green Field,32,4 KAKI,POINT (109.253889 -0.79)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.113,113,P06-22,-0.859722,109.690278,Green Field,32,4 KAKI,POINT (109.6902778 -0.8597223)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.114,114,tbg,-0.142833,109.413,Green Field,42,4 KAKI,POINT (109.413 -0.142833)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.115,115,tbg,-0.06922,109.36237,Green Field,42,4 KAKI,POINT (109.36237 -0.06922)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.116,116,tbg,0.09963,109.46834,Green field,72,4 KAKI,POINT (109.46834 0.09963)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.117,117,tbg,-0.10232,109.38448,Green Field,42,4 KAKI,POINT (109.38448 -0.10232)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.118,118,tbg,-0.12561,109.41011,Green Field,42,4 KAKI,POINT (109.41011 -0.12561)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.119,119,tbg,-0.04704,109.49022,Green Field,42,4 KAKI,POINT (109.49022 -0.04704)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.120,120,tbg,-0.03507,109.44057,Green Field,42,4 KAKI,POINT (109.44057 -0.03507)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.121,121,tbg,-0.11835,109.39771,Green Field,42,4 KAKI,POINT (109.39771 -0.11835)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.122,122,tbg,-0.15453,109.41719,Green Field,42,4 KAKI,POINT (109.41719 -0.15453)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.123,123,tbg,-0.1004,109.40313,Green Field,42,4 KAKI,POINT (109.40313 -0.1004)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.124,124,tbg,-0.26812,109.85852,Green Field,72,4 KAKI,POINT (109.85852 -0.26812)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.125,125,tbg,-0.45297,109.55861,,72,4 KAKI,POINT (109.55861 -0.45297)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.126,126,tbg,-0.0369,109.38134,Green Field,42,4 KAKI,POINT (109.38134 -0.0369)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.127,127,tbg,-0.08744,109.22507,Green Field,62,4 KAKI,POINT (109.22507 -0.08744)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.128,128,tbg,-0.008582,109.19601,Green Field,62,4 KAKI,POINT (109.19601 -0.008582)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.129,129,tbg,-0.09954,109.28666,Green Field,52,4 KAKI,POINT (109.28666 -0.09954)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.130,130,200116109,-0.18737,109.44364,Green Field,42,4 KAKI,POINT (109.44364 -0.18737)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.131,131,C409,-0.126611,109.247694,Green Field,70,3 KAKI,POINT (109.2476944 -0.126611111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.132,132,2111021,-0.083444,109.387528,Green Field,32,3 KAKI,POINT (109.3875278 -0.083444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.133,133,Perdamaian,-0.066056,109.302111,Green Field,51,3 KAKI,POINT (109.3021111 -0.06605556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.134,134,PELABUHAN RASAU,-0.264431,109.362325,green field,42,3 KAKI,POINT (109.362325 -0.264431)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.135,135,140381,-0.31931,109.15189,green field,72,4 KAKI,POINT (109.15189 -0.31931)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.136,136,140867A,-0.0031,109.28391,Green Field,42,4 KAKI,POINT (109.28391 -0.0031)
