quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,lat,lon,year,quarter
1322231100313113,4768,1351,39,4,3,5.391804573239836,100.1898193359375,2019,1
1322231100333111,9409,6524,32,2,2,5.3097661719436795,100.1898193359375,2019,1
1322231100333113,16306,3050,39,2,2,5.304296555127955,100.1898193359375,2019,1
1322231100333311,25036,9056,41,23,5,5.28788741401133,100.1898193359375,2019,1
1322231100333313,30181,19710,27,3,3,5.2824176035807,100.1898193359375,2019,1
1322231101011210,3377,3067,40,4,2,5.594118218884791,100.338134765625,2019,1
1322231101011212,10645,7975,28,4,3,5.588651190959485,100.338134765625,2019,1
1322231101011230,3951,3085,38,18,5,5.583184111989701,100.338134765625,2019,1
1322231101011231,9840,10587,34,7,4,5.583184111989701,100.3436279296875,2019,1
1322231101011232,5765,5711,34,22,6,5.577716982024742,100.338134765625,2019,1
1322231101011310,3195,3131,32,1,1,5.594118218884791,100.360107421875,2019,1
1322231101011320,3278,5901,29,1,1,5.583184111989701,100.34912109375,2019,1
1322231101011321,1116,2795,43,2,2,5.583184111989701,100.3546142578125,2019,1
1322231101011323,1022,1041,30,1,1,5.577716982024742,100.3546142578125,2019,1
1322231101011332,11164,23477,30,1,1,5.577716982024742,100.360107421875,2019,1
1322231101013010,4544,9778,33,2,1,5.572249801113908,100.338134765625,2019,1
1322231101013100,17291,12334,49,9,5,5.572249801113908,100.34912109375,2019,1
1322231101013101,2701,3233,29,3,3,5.572249801113908,100.3546142578125,2019,1
1322231101013110,3102,1197,56,4,2,5.572249801113908,100.360107421875,2019,1
1322231101013111,20473,24130,29,3,1,5.572249801113908,100.3656005859375,2019,1
1322231101013112,1519,1043,40,8,1,5.566782569306505,100.360107421875,2019,1
1322231101013113,25202,9277,30,6,5,5.566782569306505,100.3656005859375,2019,1
1322231101013313,5717,700,44,5,3,5.544913134097364,100.3656005859375,2019,1
1322231101022132,35170,20144,34,2,2,5.468363749680846,100.228271484375,2019,1
1322231101022133,22207,9654,33,7,6,5.468363749680846,100.2337646484375,2019,1
1322231101022201,32153,28685,27,3,3,5.462895560209552,100.2008056640625,2019,1
1322231101022210,12209,9599,41,70,25,5.462895560209552,100.206298828125,2019,1
1322231101022211,25746,7664,35,3,3,5.462895560209552,100.2117919921875,2019,1
1322231101022212,8888,2665,87,8,5,5.4574273208282635,100.206298828125,2019,1
1322231101022213,8766,5984,59,16,8,5.4574273208282635,100.2117919921875,2019,1
1322231101022231,11655,5487,39,36,12,5.451959031586334,100.2117919921875,2019,1
1322231101022233,12111,1364,35,3,3,5.446490692533115,100.2117919921875,2019,1
1322231101022300,1527,543,54,2,2,5.462895560209552,100.21728515625,2019,1
1322231101022322,6792,808,57,2,2,5.446490692533115,100.21728515625,2019,1
1322231101023003,19776,10081,47,47,22,5.479299978696046,100.2447509765625,2019,1
1322231101023010,24791,5885,39,8,5,5.484768018141261,100.250244140625,2019,1
1322231101023011,15004,9462,48,9,3,5.484768018141261,100.2557373046875,2019,1
1322231101023012,22726,11450,44,67,49,5.479299978696046,100.250244140625,2019,1
1322231101023013,7438,4187,33,8,4,5.479299978696046,100.2557373046875,2019,1
1322231101023020,18523,12970,32,7,7,5.473831889192793,100.2392578125,2019,1
1322231101023021,22637,13258,37,72,44,5.473831889192793,100.2447509765625,2019,1
1322231101023022,24262,11997,51,36,25,5.468363749680846,100.2392578125,2019,1
1322231101023023,7079,4792,36,33,8,5.468363749680846,100.2447509765625,2019,1
1322231101023030,33195,7981,40,13,3,5.473831889192793,100.250244140625,2019,1
1322231101023102,16002,10627,33,7,5,5.479299978696046,100.26123046875,2019,1
1322231101023103,38419,20377,37,39,24,5.479299978696046,100.2667236328125,2019,1
1322231101023112,15237,6746,48,14,13,5.479299978696046,100.272216796875,2019,1
1322231101023130,12682,9375,48,39,24,5.473831889192793,100.272216796875,2019,1
1322231101023131,1033,1177,29,1,1,5.473831889192793,100.2777099609375,2019,1
